,post
0," This is the most uneducated question ever but...

Growing up my (conservative af) parents always spoke against Muslims, some of the things they would mention were ""the quaran teaches muslims to kill nonbelievers"" and other similar things is that true? Is it one of those things how the bible technically says dont eat kinds of sea food and where certain clothes and stuff but isnt practiced any longer? Are my parents just dumb (I mean they are anyways but...)?

I've always wanted to ask this but didnt want to offend someone. "
1, Why dont you keep your baby in your bedroom and share that room at first as it will be easier to have the baby close anyways. Then once the adoption is processed they could share rooms. Its such a simple solution that I feel like you have an entirely different reason for thinking this way. 
2, So would you rather the government continued to tax women more than men and continue that inequality or...? 
3, If you have too many geeky knick knack things around the house maybe get some stuff for his car? I got my husband spiderman car coasters for his birthday just a bit ago 
4, Would you think this is kid friendly? Considering going but don't want to leave my baby for 2 nights in one weekend and I already have plans for one. 
5, The berry bursts into a ton of weird little pod things 
6,  
7," Wow that was fast, thank you! "
8," I would probably give this to my sister but my favorite accessory would have to be my knock around sunglasses. Between my husband and I we probably have like 60, currently I am wearing the eclipse pair which is entirely black. I always forget to take them off when I get to the office and end up walking around all day with them on top of my head. "
9,  
10, Especially with the beard! It would look great 
11, Of monsters and men - little talks 
12, The civil wars - falling 
13," Make sure your first picture is your best one of you alone (unless you're with a dog). Dont have more than one group photo and make sure the photo isnt you looking like youre in a relationship with anyone else in the picture. If you have any pictures with filters, make sure the first picture does not have a filter. Try and include a picture with you all dolled up. Try and include a picture of you doing something you enjoy or with a pet or something like that. 
While jokes are kinda of a risk, make sure you have something in your profile that would be easy to respond to in a message, it can be a joke, favorite movie book, etc. Something that someone messaging you could play off of- if its easier for them to think of a response then they're more likely to message you. "
14, Came here to say this On Writing helped me improve my writing immensely 
15," While you shouldn't let this chick get to you for sure and stick to being yourself, one thing I've found helps me shape social interactions is quite simple. Ask questions! I bet she loves talking about herself and her life. Plus it will make her feel like you care about this and her well being. It just shows in general that you're considerate to others and interested. Every Monday ask how her weekend was! And then if you can think of something you did over the weekend you can share that too. Then ask plenty of follow up questions too, slowly this will build up to conversations. "
16," Wasnt sure a good title for this.

Basically, I'm moving apartments in a couple months here. It will be me (22) my husband (24) and our newborn daughter. Along with that we are having my younger sister (19) move in as well. She is still in high school and doesnt work or have any credit history. She has a disability that prevents her from being able to work and she hasn't graduated high school anyways. (In exchange for living with us she will be taking care of our daughter while we are at work. It will be a safer living arrangement for her as well so all works out.)

The issue is that since she is over 18 apartment buildings want her on the applications as well. I understand why but I'm worried having her on the applications will affect our ability to be accepted. Our credit scores are average and credit history is on the lower side but all of our payments are on time and we dont have anything bad to be reported. Our previous landlords will be able to vouche for us as well if needed about our on time payments and such. So we're already a little iffy on 100 percent being accepted or not regardless of my sister.

How should we handle this? Should I be worried we wont be accepted? "
17, I'm not saying this is what's happening here by any means. I'm just saying it could potentially be the problem here and he seems to be ignoring the advice given by the counselor and I wonder if that's such a good idea for his relationship. 
